id,cloud provider,Total Ram,Total CPU,Total Disk Space (GB),Cpu Utilization,Network Latency (milliseconds),Cost per Day ($),Average IOPS,classification
7e297f9e-cd35-4701-adf4-0222ea67bcdf,GCP,16,4,16,82.56,107,44.5,1088,overutilized
a2d04745-a84f-4a73-ba69-3fc66cd95154,GCP,2,1,8,79.25,57,10.17,750,optimal
1c95c8c8-557d-477d-b2c9-add8351802fd,AWS,2,1,8,87.17,129,10.15,686,overutilized
a5f4d334-8f98-4d60-b452-4da59e32e8be,AWS,8,2,8,75.56,55,24.45,852,optimal
7875fbb8-bef7-498e-a37d-917cfbbbdd4b,AWS,32,16,16,72.16,89,101.09,1211,optimal
480e7a9b-de73-4bed-8d65-03deb42374a4,On-prem,16,4,16,68.91,108,35.79,821,optimal
edf4f6e6-480e-4c50-8813-5a69f5a73990,AWS,16,8,16,97.01,56,52.64,892,overutilized
be382b66-8fd4-4200-8ef6-946f6b327d53,On-prem,8,1,8,52.67,53,17.92,706,underutilized
5028c7e4-063f-4ade-ae15-172af49618fa,GCP,1,1,8,54.46,131,8.11,761,underutilized
18cbc072-2bc5-491e-be23-18c390f4e305,GCP,16,8,16,47.66,142,52.72,986,overutilized
61ea3a29-194d-4c80-a26d-cfdf3612c1d0,AWS,16,4,16,41.07,80,44.69,896,underutilized
dea61e54-00a2-48a8-bad3-9c30a9228590,AWS,1,1,8,52.6,85,8.11,944,underutilized
f67dc5f4-0302-4dae-be9e-1b4f08573b64,AWS,32,16,16,55.84,144,101.84,1064,overutilized
87dfded8-2204-4d58-9a57-12021bda387e,AWS,64,16,32,41.39,88,165.74,1717,overutilized
386be817-17fe-4c20-a473-410f77071de2,AWS,64,16,32,53.12,100,166.72,1467,underutilized
ceff1a29-4469-4f02-bc4d-99917acd0370,GCP,32,16,16,70.17,49,101.65,1078,optimal
fa771a00-0696-48c0-8a31-092c35a299dc,AWS,32,16,16,51.44,109,101.81,1235,underutilized
730d8d6f-56ab-4454-bbb7-017b235f08f7,AWS,1,1,8,46.01,42,8.15,746,underutilized
ed3629fa-9312-4458-856b-a2263779b71f,On-prem,8,1,8,87.56,77,17.79,920,overutilized
96a70002-5208-42d4-84ff-0cc5f1c23bb7,GCP,4,2,8,61.89,125,16.31,854,optimal
b9e47478-d9cb-4771-adb6-8c7e6fa43473,AWS,1,1,8,91.09,117,8.13,837,overutilized
385cdfba-be50-4b6f-be05-790b708beb77,AWS,16,4,16,40.32,108,44.44,894,underutilized
2b71222a-fb01-4648-b084-adb243bf6ed0,On-prem,64,16,32,68.41,107,133.58,1276,optimal
81f9fc7e-fcc1-4569-a249-2ab18711dde5,GCP,2,1,8,55.56,129,10.12,783,underutilized
a508a89d-1665-4a9f-9ac9-527ecb7a3b0e,GCP,4,2,8,97.41,61,16.2,797,overutilized
ee61a425-dd77-4c66-9a2f-928912d9031b,AWS,32,16,16,49.52,141,101.86,1020,overutilized
5618ed9f-2001-4ecc-bcc8-8a5d21efe78b,AWS,2,1,8,67.2,68,10.16,855,optimal
d0989421-7735-4697-9a7b-7098bcbb0697,On-prem,8,1,8,74.3,286,17.79,742,overutilized
957d8887-b593-45d9-9a21-e8eaafc9ffff,AWS,32,16,16,82.28,81,101.88,1171,overutilized
95e1e8ab-1303-407f-b414-13db93473b09,AWS,4,2,8,65.11,83,16.19,837,optimal
7ffac887-dabb-424f-91ef-10d60015fda7,GCP,16,8,16,51.18,111,52.93,1103,underutilized
ea4dbc0a-ae12-49f0-962c-21b0d139c08a,AWS,1,1,8,73.55,144,8.14,835,overutilized
680653f8-8c11-475d-8176-16881eff7a10,AWS,64,16,32,62.87,76,167.28,1778,overutilized
8d4884af-dd17-4acc-8a0e-9e13dca1b290,On-prem,64,16,32,49.41,142,133.57,1719,overutilized
b776cbcc-9b59-4efd-8cab-7d75a78e440d,GCP,16,4,16,72.35,92,44.68,1119,optimal
ff430678-36d8-47d5-bd58-a346b0532ba0,AWS,2,1,8,97.4,41,10.14,777,overutilized
b3dd1a42-9071-482e-9b31-68a36a9ad7e9,AWS,8,1,8,46.51,140,22.22,991,underutilized
b318c605-c106-4de7-83a8-64a09c5ebcfc,AWS,16,4,16,57.76,49,44.55,931,underutilized
d8cdff8a-fbbf-484b-87f0-be5e4495a9ec,On-prem,2,1,8,46.37,145,8.13,700,underutilized
83868c7c-8831-4e4f-8826-0bef49cfdd4f,AWS,16,4,16,87.89,67,44.57,1030,overutilized
d107a0e9-b7f5-4879-923e-360d0aa3f8e9,AWS,4,1,8,74.47,45,14.24,982,optimal
e529378b-d629-42e4-ac97-ceef14fc744d,On-prem,1,1,8,51.26,158,6.49,704,underutilized
daa2992e-3320-45ef-b6ec-955b6390640d,GCP,1,1,8,78.89,59,8.15,793,optimal
cc4ac43f-07fa-455c-8702-762d87f0cf34,On-prem,8,1,8,47.55,81,17.81,1003,underutilized
8a005358-6b1e-4039-a8ba-6110ecb7465d,On-prem,2,1,8,75.85,287,8.1,941,overutilized
f809a39c-134f-4469-8d58-459d8eaa139f,GCP,16,4,16,41.88,69,44.57,908,underutilized
b4f32baa-1335-4ed2-bbb9-ec0529e1effe,AWS,32,16,16,41.96,112,101.99,1122,underutilized
fd1bdbc7-fab4-4f94-9824-a5bb0146fdb5,On-prem,32,16,16,65.35,228,81.46,1071,optimal
96f66e12-3762-49eb-8675-0dfd7bf1daa9,AWS,4,1,8,56.12,129,14.26,731,underutilized
6df14ed8-20a7-4e69-b741-9a4d305f3d5a,On-prem,8,1,8,53.09,165,17.82,937,underutilized
7ae3f91f-8692-49f7-af2f-2db2504307c6,GCP,64,16,32,54.28,57,167.13,1335,underutilized
a63a61ce-2740-425d-9583-597485666c22,AWS,4,2,8,68.46,85,16.25,972,optimal
4f31e357-d2a6-47a9-9e5c-20173be226b4,AWS,64,16,32,81.15,56,166.57,1490,overutilized
b7577861-02c3-490b-8eb1-804d03e17da1,AWS,64,16,32,91.81,102,166.74,1412,overutilized
534d0741-1b22-488c-9483-6becb35bc2ba,AWS,2,1,8,65.19,110,10.19,770,optimal
9879bb43-9738-4b30-bdec-503fd94d5354,GCP,2,1,8,89.79,93,10.17,776,overutilized
a19b0c51-718c-4856-b652-16cfef4c514b,AWS,1,1,8,92.38,51,8.13,672,overutilized
de18466d-7784-448f-b2e9-d1087f1989d5,AWS,32,16,16,56.43,87,102,1122,underutilized
5671c0f9-d789-419c-9ad5-547fce8ef854,AWS,8,2,8,51.28,49,24.44,1048,underutilized
62d8ebee-5253-437b-b7eb-ff68bcf55656,GCP,32,16,16,45.69,111,101.02,945,underutilized
82a3683c-918c-4baf-b11f-575d0194d642,On-prem,32,16,16,95.52,97,81,921,overutilized
29851950-81c0-444b-bd8e-8fcaf0503e16,AWS,8,2,8,89.78,77,24.35,765,overutilized
70990f7b-6145-4c28-9d32-e2c6d3639221,AWS,4,1,8,60.66,104,14.2,713,optimal
9e9313b8-d2f7-482b-bf0e-65104d70a0c3,GCP,1,1,8,95.2,90,8.13,673,overutilized
4091f4b1-dc03-490c-9f5f-612dbb61461f,AWS,64,16,32,43.21,75,166.99,1665,underutilized
7781202b-50ad-4606-aa44-32630fc61ab3,On-prem,4,2,8,63.24,108,13.03,752,optimal
887a580b-e0f2-411f-88d5-a970ae9eb716,AWS,32,16,16,92.39,101,101.27,970,overutilized
29267802-8457-4a60-9c62-0f83c5f227c8,AWS,8,1,8,51.55,149,22.3,866,overutilized
24499fa4-2358-49d2-88a3-4cc5b2f0e704,On-prem,2,1,8,94.29,212,8.14,811,overutilized
862c9a89-69ad-4875-b6f8-777cfb9e227c,AWS,32,16,16,70.22,78,101.23,1284,optimal
c5bf9104-078d-4075-86e0-2e0ff3104c44,AWS,8,1,8,57.23,46,22.28,951,underutilized
9ff56f1b-2756-4d25-bdb7-d7c5c92228ea,AWS,8,2,8,64.76,140,24.24,937,optimal
46f9172a-7518-4902-8090-a95057fc5148,AWS,1,1,8,42.29,148,8.15,818,overutilized
a48ca6ca-ada9-4efa-b052-a26d0f9a213a,AWS,64,16,32,73.33,63,167.27,1460,optimal
574cf643-bca4-408f-9d3c-2b8df6bcae18,GCP,2,1,8,85.94,57,10.18,827,overutilized
cf4c162b-6adc-4ac2-9115-9cc7a9235064,GCP,16,8,16,89.15,51,52.53,853,overutilized
088242ad-12a4-4141-a333-c30d5a1bb6b1,AWS,4,2,8,47.66,140,16.26,928,underutilized
73a03e04-40c1-4798-b796-30c7d30a3d03,AWS,8,1,8,67.05,95,22.3,719,optimal
5af6d071-223b-40c1-bf8b-c47590d40874,AWS,8,2,8,73.49,47,24.34,989,optimal
8b50c93e-857d-440a-a0a6-2bc5a8182bde,On-prem,2,1,8,97.15,126,8.15,691,overutilized
95f51845-e221-4333-86fd-c21d56d43212,On-prem,32,16,16,88.53,247,81.45,922,overutilized
a9bb40a7-b74d-4d15-b30b-f68d39e42f49,GCP,32,16,16,54.74,96,101.2,952,underutilized
0674cafb-d47b-4232-b925-57032b205824,AWS,2,1,8,67.56,74,10.16,869,optimal
7b6a99de-f8c5-40d9-b4fd-6be81fef9560,GCP,1,1,8,46.6,120,8.12,842,underutilized
3b51a37b-ccfc-4fbc-a89e-26c1e7306233,On-prem,16,4,16,64.05,287,35.66,1128,overutilized
d196b9cc-49ea-49b8-8086-cb1e1c2a19fb,AWS,16,8,16,83.29,80,52.66,946,overutilized
111ba735-5187-4ef9-aae4-a65a4ca276c6,On-prem,2,1,8,91.29,63,8.08,908,overutilized
6244d0ee-e091-4095-b9be-7ca2644fe567,AWS,8,2,8,91.17,119,24.35,1027,overutilized
daecb5e9-6960-4067-bda6-efd7769128cb,AWS,4,2,8,90.35,78,16.3,761,overutilized
ea910813-96e0-474d-9d05-900c602c1c55,GCP,64,16,32,73.5,51,166.29,1688,optimal
0c6e2b36-0132-4185-aad1-4f4db9109784,AWS,32,16,16,77.62,59,101.2,1178,optimal
838d1b90-3523-4f53-a4c3-aabbc5b77662,On-prem,4,1,8,82.85,131,11.32,762,overutilized
cd61b144-8672-44e5-ae93-3afe6c6818b2,AWS,16,8,16,40.35,112,52.68,793,underutilized
ef07c682-ec3f-4103-848f-f7e1d99f9dd2,On-prem,64,16,32,92.53,171,133.37,1350,overutilized
8f85b34a-f6cc-4c69-b0ae-93281abcf84c,AWS,8,1,8,54.18,80,22.37,742,underutilized
2ce11ddd-d1c7-4930-a161-8b56eac75f2a,GCP,1,1,8,86.66,60,8.1,827,overutilized
c242cf60-dc06-466c-a8dc-df0a5db315c1,AWS,8,2,8,90.11,144,24.31,775,overutilized
d5c7884e-490b-46a8-8083-feb499169f58,GCP,32,16,16,97.22,127,101.57,1187,overutilized
620e8c19-15b6-4f73-9509-140a7d179a14,AWS,64,16,32,43.78,137,166.48,1464,underutilized
97a9ec6c-bd18-4ab4-b98b-373507003b44,On-prem,8,1,8,89.88,294,17.89,893,overutilized
b276608b-b293-4277-a6c0-9f0e3743cca0,On-prem,2,1,8,86.47,72,8.14,882,overutilized
fd7360a8-3300-4280-90ce-379a77fbef0e,AWS,32,16,16,85.66,127,101.48,1074,overutilized
b3c3ad1a-ef92-4fc3-9fa6-318e59ef107d,AWS,16,4,16,46.55,58,44.53,1050,underutilized
c339f202-a22b-4b5e-9d0d-1c9b0ffacda6,On-prem,64,16,32,80.43,194,133.04,1239,overutilized
ea568171-0a95-46da-b34d-768c1dd6e4cb,GCP,64,16,32,48.38,118,167.15,1425,underutilized
b85105ff-37ce-4848-b3a5-5ce2b788c8a2,On-prem,32,16,16,77.23,204,81.6,1025,optimal
6e764d09-06cb-4058-8fd6-2623a20c6f2f,AWS,4,1,8,74.94,82,14.15,832,optimal
69953c65-a5bd-4b9b-9689-b5c237b3ff44,GCP,8,2,8,41.31,148,24.39,1024,overutilized
3757e06f-f6bf-42c6-91a5-fa140ef910af,On-prem,32,16,16,65.92,168,81.37,1204,optimal
487c6611-458d-412e-bde4-c4b0f12f28b9,On-prem,16,4,16,88.37,187,35.79,887,overutilized
9cd89a2c-4b60-4e52-a2f4-fcec0491f12a,On-prem,2,1,8,71.56,241,8.1,942,optimal
6b521b6c-c3e7-48a4-aa4b-e38a45001c10,GCP,1,1,8,88.24,97,8.12,734,overutilized
15593868-30d1-4748-b85b-76fbbae85419,AWS,64,16,32,64.55,100,166.11,1438,optimal
b2f627a3-e772-4af5-ba12-e171b148253b,On-prem,64,16,32,88.42,175,132.81,1490,overutilized
b1577801-bca5-475f-904b-a4e5d78dfe34,AWS,1,1,8,53.04,62,8.12,954,underutilized
d2f0109b-13f3-441b-afd9-ac4fc05ccbfc,GCP,64,16,32,90.04,100,166.61,1290,overutilized
d00606ad-ea3c-4987-8b15-80e3b4e47144,AWS,16,8,16,67.59,93,52.76,1111,optimal
e5e4d167-1c72-4c9d-b1ed-450e6404e74c,AWS,64,16,32,44.14,54,167.15,1361,underutilized
c2e3c891-63b8-43ef-94fc-1e4e8b8f7401,On-prem,1,1,8,71.26,90,6.49,778,optimal
ab9855a3-1a58-4fc9-b1ff-f1b8a49d34c7,AWS,16,4,16,52.35,107,44.69,1017,underutilized
518ff585-5109-4307-a8dc-f7887485c6f4,AWS,16,4,16,91.18,49,44.7,934,overutilized
8d0d2873-023b-4a39-b3ea-ed52ca81bf64,GCP,4,2,8,43.5,145,16.18,738,overutilized
b1ba2318-01ff-4bfb-a8fd-a862e84e3129,On-prem,4,2,8,88.52,290,12.99,843,overutilized
9e477e71-0679-4262-b0c3-4fa2fd93c7d1,AWS,4,1,8,54.58,96,14.23,801,underutilized
9012293f-3816-4c7f-bdf0-273745bbc612,AWS,64,16,32,90.15,74,166.05,1728,overutilized
d864528c-2ce0-4f36-b6a2-c62dfbc53a4d,GCP,2,1,8,47.94,100,10.17,828,underutilized
8cc8d40b-635d-41e2-9194-a892be8f3170,AWS,64,16,32,94.65,124,165.88,1750,overutilized
10f04140-4a0b-48b6-9d2f-ea56cd2d3093,On-prem,16,8,16,94.47,180,42.37,1024,overutilized
880ae1f5-12ce-4005-a02a-a5f6ac58d2ee,On-prem,4,2,8,81.5,241,13,723,overutilized
68b5dfc1-2c22-40f4-970b-5038ebd80839,GCP,64,16,32,45.78,72,166.99,1504,underutilized
afef3347-7f9b-4831-8817-fa66fcc0948d,AWS,4,1,8,64.27,100,14.15,962,optimal
9a5d33db-89f8-4e29-9a64-6b577ab3183e,GCP,2,1,8,45,104,10.11,805,underutilized
f4094d55-a18e-4157-94a2-c10123bb4f9e,AWS,32,16,16,71.27,107,101.22,991,optimal
6ae2c433-fcd3-4b67-be25-17785b94ba15,AWS,32,16,16,88.2,44,101.9,1279,overutilized
f4b88e8d-3f1b-4949-8809-c7252387417a,AWS,32,16,16,52.43,63,101.44,1174,underutilized
138db207-95c7-446e-b9a8-feef756bd718,GCP,8,2,8,67.92,137,24.25,995,optimal
7e8378a1-25e7-4293-8ebc-013b9dbaecfa,On-prem,4,1,8,94.1,252,11.34,781,overutilized
002f6bd1-e5bf-40c6-9e10-56f74d455371,On-prem,64,16,32,57.91,281,133.47,1610,overutilized
0a960b12-b538-400f-b1ba-b8b8164187a9,GCP,64,16,32,84.93,125,165.83,1359,overutilized
f5e81d9b-8239-4785-9dc4-be57ae85ca2b,AWS,64,16,32,60.96,140,166.72,1691,optimal
3fb4200b-c31b-4d2e-ad79-dcc4e1514eca,AWS,1,1,8,61.56,142,8.12,942,overutilized
37d020ce-b1e2-4ad1-9d41-a0516d5acdb7,On-prem,64,16,32,92.03,236,132.93,1534,overutilized
0b4ea0be-22ca-43c9-991d-d4e84443e701,AWS,16,4,16,86.72,56,44.61,1039,overutilized
1c42dc07-9a00-408f-95d7-81304b5c6bb0,GCP,16,4,16,89.85,66,44.83,1042,overutilized
58f896e1-a42d-47e7-a180-ec8bdb94d2b3,GCP,32,16,16,59.02,147,101.32,938,overutilized
20baacef-b57f-4159-867b-b0c20c63f308,GCP,4,1,8,59.49,84,14.27,864,underutilized
29165abe-49bc-4226-a91b-a9efdab69aea,AWS,4,1,8,80.16,116,14.27,683,overutilized
028cd8bd-c3b9-4b2a-abf4-4b9797b8d39a,On-prem,8,1,8,42.42,266,17.86,926,underutilized
04c5f62e-adc0-4c6c-8287-ad360cbda6ee,AWS,16,8,16,66.47,136,52.56,960,optimal
baeffebf-21be-409e-9bc7-1043d81cf38f,GCP,16,8,16,78.85,122,52.95,976,optimal
e79f9814-cdf7-42ed-81c2-748faf3edb83,AWS,64,16,32,41.46,96,166.65,1269,underutilized
f0ab69a8-eb27-40da-b5b7-48d7554a63c3,On-prem,2,1,8,54.8,192,8.12,690,underutilized
d7c3f6b4-cb45-46fb-bdb2-40984586ebcd,AWS,4,1,8,90.01,148,14.25,872,overutilized
795824e8-c0c7-4b46-87e1-3955d17140cd,AWS,8,1,8,40.1,132,22.33,999,underutilized
7ab969a3-6d2d-4555-8d90-af54e03285c3,AWS,32,16,16,78.27,74,101.08,1072,optimal
91895d86-5ce1-495d-89b2-8f990b4f0f34,On-prem,16,4,16,44.54,81,35.62,874,underutilized
ea0ebb60-1b64-4b36-8bd8-cd8531a2082e,AWS,2,1,8,65,101,10.14,833,optimal
c06a5d7d-4c6b-4684-86e5-3f930fa211da,On-prem,64,16,32,70.79,188,132.74,1489,optimal
5d6971e6-ea0b-4503-9e18-9153064990bf,AWS,4,2,8,80.53,56,16.19,982,overutilized
ea6ab1bc-10e2-410f-9785-8cd523972bdc,On-prem,1,1,8,86.41,111,6.47,839,overutilized
cb0702d7-68f2-4fe1-afed-1260a26ecf67,On-prem,1,1,8,87.54,154,6.51,666,overutilized
8220d088-458f-438a-a07e-2b8ea376e661,AWS,8,2,8,72.17,147,24.39,873,overutilized
8da5327d-b68e-4d88-9701-67519cb37a51,GCP,4,2,8,56.97,103,16.3,844,underutilized
f3b2604b-756a-40fc-80a0-25f41ecbbaf9,GCP,1,1,8,63.81,126,8.1,958,optimal
ea03b307-b159-427a-a24c-4585ac227c8f,AWS,1,1,8,93.71,95,8.11,706,overutilized
502f2d6c-8c24-4109-995f-45ca463e1c16,AWS,64,16,32,86.25,95,165.79,1538,overutilized
b353cc7f-c16d-44d3-adac-5c8829abf633,GCP,1,1,8,66.07,58,8.13,890,optimal
353c1b55-8172-4327-b0e4-82849c417fd4,GCP,8,1,8,77.51,128,22.39,932,optimal
fb269ae0-b181-4765-b4d2-85cfd01f1c91,AWS,4,2,8,56.57,50,16.19,847,underutilized
fb51d5bb-318c-4059-b148-67f5d62d0ffe,GCP,16,8,16,91.61,146,52.78,856,overutilized
a9661dfe-90f9-4190-907f-1729872e3ae3,AWS,4,1,8,75.5,149,14.15,791,overutilized
cc2c8718-0176-4c79-9b38-ff93d13a4dd2,AWS,8,1,8,94.15,57,22.28,830,overutilized
8ddfcddf-55bb-4b9c-a2c6-1f3e4972e831,AWS,8,2,8,55.31,60,24.39,1020,underutilized
6de357e6-de95-4e93-b820-064fa00595cd,GCP,4,2,8,89.61,49,16.24,972,overutilized
c528982a-5008-4bc0-bcc8-be01d15506f5,GCP,4,1,8,79.92,99,14.22,712,optimal
18889ed0-4409-4196-8414-b4e9b67dd75f,On-prem,8,2,8,94.65,133,19.57,748,overutilized
dd006bbb-77f7-44d2-9afe-d5f75d015ac0,On-prem,2,1,8,43.97,154,8.11,672,underutilized
ad225521-af9b-4722-ac53-bf63d2f22489,AWS,32,16,16,59.67,149,101.89,1023,overutilized
f5324e43-4554-452d-bc65-6c91e396ad6e,AWS,1,1,8,76.64,137,8.13,669,optimal
885820dd-43dc-46f9-9de9-a94d0a07f586,GCP,4,2,8,97.53,104,16.28,744,overutilized
d5fc464b-307e-4503-b3f1-5952501b369a,GCP,8,1,8,80.18,55,22.25,840,overutilized
d8355e61-c917-4b80-a948-9d2ae3b61844,AWS,2,1,8,79.09,108,10.16,890,optimal
e38162ac-c74c-4f85-a276-e431910e798e,On-prem,2,1,8,82.72,198,8.13,863,overutilized
c0a5d8de-5ea6-4bd9-9cdd-ec3c9cb3b0fe,AWS,64,16,32,82.16,119,166.15,1684,overutilized
cfeba038-63f8-43cd-bbc9-13db823b4cd4,AWS,8,1,8,75.01,141,22.44,977,overutilized
64268b79-f091-4797-af4a-a651c5026f45,GCP,32,16,16,58.48,136,101.74,1297,underutilized
4e9ea568-a88b-40f7-afdb-968e8fffc21e,AWS,1,1,8,63.92,86,8.15,831,optimal
1c85bd1b-480c-4a6e-bfa9-cd9c32a89393,AWS,32,16,16,59.36,150,101.09,1166,overutilized
812cd606-5fa0-4b29-845e-4cf1779d7280,On-prem,1,1,8,46.29,241,6.48,783,underutilized
d5ad6d6e-d215-43a3-ab9e-0f4970956741,GCP,4,2,8,63.65,48,16.23,790,optimal
4265c3c9-3f9f-4a97-b773-87215d7a0244,AWS,4,2,8,78.46,127,16.22,975,optimal
6c1c4aa6-9a0b-4b4b-9070-e802f496a32a,GCP,4,2,8,48.16,119,16.24,715,underutilized
2cab39e4-b18d-4056-ad8c-92ee2d3f3c85,AWS,4,2,8,56.5,77,16.31,916,underutilized
58a86195-b363-4113-b542-c147ae9eacaf,GCP,32,16,16,61.75,82,101.49,1292,optimal
fed1e3d4-4923-44f2-b76e-c731b0f11317,AWS,32,16,16,61.05,42,101.29,1134,optimal
4d40565f-c95f-4725-8295-860704918781,GCP,2,1,8,61.25,139,10.15,849,optimal
7f03ff2a-46f4-4e33-a283-59d7db062239,On-prem,2,1,8,76.27,253,8.11,802,optimal
52d7427f-c189-469b-9d52-290586bdf229,On-prem,1,1,8,64.67,254,6.52,825,optimal
6b884e0f-caef-48e5-9fbd-d89d36e1808c,AWS,32,16,16,73.09,76,101.95,1202,optimal
8ef4e4e4-5156-4be6-abff-b968801db7ed,On-prem,2,1,8,74.18,271,8.08,906,optimal
7f1f2742-d1f2-4055-ae2f-5d31ed4213c6,On-prem,4,1,8,42.37,231,11.4,911,underutilized
fd27cbf9-3c00-4829-ac0b-6a691eed9fdc,GCP,8,2,8,60.11,148,24.45,889,overutilized
cff56c35-c189-48b0-9f82-2923c196064a,On-prem,16,8,16,85.12,60,42.37,1050,overutilized
c6feeafc-470e-4345-8a53-e8439f82142a,AWS,1,1,8,93.45,107,8.13,700,overutilized
8e326f37-0b82-46a8-a016-90b257ffb94a,AWS,64,16,32,93.61,77,166.25,1488,overutilized
2c171cb5-aafe-4887-a4da-f885a162a149,GCP,1,1,8,46.08,70,8.11,687,underutilized
